time,Vvout_highq
1.000950957070789e-003,-6.347122e-001
1.000959439234723e-003,-6.327160e-001
1.000966765731819e-003,-6.310299e-001
1.000972293980701e-003,-6.297970e-001
1.000977840986724e-003,-6.286037e-001
1.000984206810262e-003,-6.272852e-001
1.000991179310795e-003,-6.258982e-001
1.000999982925887e-003,-6.242114e-001
1.001010080658375e-003,-6.223223e-001
1.001019616588111e-003,-6.205423e-001
1.001029591694863e-003,-6.186440e-001
1.001038036523663e-003,-6.169853e-001
1.001044426147136e-003,-6.156864e-001
1.001050668779545e-003,-6.143777e-001
1.001057827061850e-003,-6.128391e-001
1.001065209094591e-003,-6.112220e-001
1.001074051618535e-003,-6.092670e-001
1.001085590343016e-003,-6.067243e-001
1.001094304220778e-003,-6.048324e-001
1.001101259312924e-003,-6.033561e-001
1.001108245089847e-003,-6.019098e-001
1.001116092346131e-003,-6.003246e-001
1.001125005628240e-003,-5.985638e-001
1.001135687159656e-003,-5.964833e-001
1.001148419815170e-003,-5.940047e-001
1.001160222024302e-003,-5.916789e-001
1.001168105601367e-003,-5.900946e-001
1.001175482291536e-003,-5.885815e-001
1.001184422596109e-003,-5.867171e-001
1.001193184315317e-003,-5.848681e-001
1.001204250065637e-003,-5.825241e-001
1.001218439526966e-003,-5.795352e-001
1.001227867055112e-003,-5.775758e-001
1.001236152975200e-003,-5.758837e-001
1.001246340809719e-003,-5.738362e-001
1.001255881816015e-003,-5.719425e-001
1.001268828809804e-003,-5.693869e-001
1.001284240406510e-003,-5.663347e-001
1.001294252499230e-003,-5.643318e-001
1.001303397049835e-003,-5.624791e-001
1.001314660978497e-003,-5.601736e-001
1.001325395207135e-003,-5.579638e-001
1.001340073248473e-003,-5.549435e-001
1.001352895772923e-003,-5.523230e-001
1.001363353460039e-003,-5.502086e-001
1.001374364691611e-003,-5.480064e-001
1.001386507526498e-003,-5.455973e-001
1.001400467000254e-003,-5.428361e-001
1.001415050937501e-003,-5.399445e-001
1.001426347330678e-003,-5.376911e-001
1.001438148528121e-003,-5.353208e-001
1.001451820253855e-003,-5.325630e-001
1.001467039222134e-003,-5.294933e-001
1.001482177575982e-003,-5.264533e-001
1.001494626349827e-003,-5.239714e-001
1.001508409827479e-003,-5.212432e-001
1.001523629903787e-003,-5.182434e-001
1.001543376486518e-003,-5.143531e-001
1.001558377331302e-003,-5.113894e-001
1.001573134973379e-003,-5.084636e-001
1.001590480206287e-003,-5.050216e-001
1.001611003828758e-003,-5.009590e-001
1.001627042331701e-003,-4.978006e-001
1.001643863049008e-003,-4.945061e-001
1.001663118973145e-003,-4.907457e-001
1.001689858938316e-003,-4.855246e-001
1.001710106846245e-003,-4.815673e-001
1.001733407161912e-003,-4.770165e-001
1.001757498444792e-003,-4.723270e-001
1.001776656980073e-003,-4.686151e-001
1.001803432334562e-003,-4.634460e-001
1.001829632797240e-003,-4.583945e-001
1.001851820424620e-003,-4.541202e-001
1.001881076516996e-003,-4.484976e-001
1.001914897938630e-003,-4.420255e-001
1.001949172908669e-003,-4.354950e-001
1.001980535716726e-003,-4.295365e-001
1.002008983647494e-003,-4.241451e-001
1.002045196761096e-003,-4.173062e-001
1.002077783329979e-003,-4.111802e-001
1.002119430345712e-003,-4.033861e-001
1.002167699536780e-003,-3.943896e-001
1.002212381776583e-003,-3.861041e-001
1.002260890432317e-003,-3.771625e-001
1.002314226325896e-003,-3.673866e-001
1.002366079046219e-003,-3.579396e-001
1.002424965679152e-003,-3.472878e-001
1.002495408997885e-003,-3.346442e-001
